feature,importance
volatility_20d,351
return_20d,173
copper_price_lag_60,136
usd_index_lag_60,134
usd_index_lag_30,117
cpi_inflation_lag_60,117
asset_TSLA,116
asset_INTC,115
usd_index,109
bond_yield_10y_lag_60,108
aluminium_price,99
aluminium_price_lag_60,98
copper_price_lag_30,96
copper_price,92
asset_AMD,92
crude_oil_lag_30,87
asset_NVDA,86
bond_yield_10y_lag_30,85
bond_yield_10y,81
crude_oil_lag_60,78
crude_oil,70
aluminium_price_lag_30,66
cpi_inflation,62
asset_UAL,60
asset_F,55
cpi_inflation_lag_30,53
asset_AAL,51
return_5d,42
asset_XLE,41
asset_SMH,40
asset_DAL,29
asset_AAPL,10
asset_MSFT,10
asset_GM,8
asset_XLF,1
asset_QQQ,1
asset_IWM,0
asset_SPY,0
